name,sku,new_description
Flat Bottom,FBT-A-ZIP-25x35x9.5-WHT,"Discover our high-quality Flat Bottom. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 7,000, while business partners can enjoy a wholesale rate of Rp 5,500."
Flat Bottom,FBT-A-ZIP-25x35x9.5-BLK,"Discover our high-quality Flat Bottom. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 7,000, while business partners can enjoy a wholesale rate of Rp 5,500."
Flat Bottom,FBT-A-ZIP-30x49x13-BLK,"Discover our high-quality Flat Bottom. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 7,700, while business partners can enjoy a wholesale rate of Rp 7,000."
Flat Bottom,FBT-A-ZIP-30x49x13-WHT,"Discover our high-quality Flat Bottom. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 7,700, while business partners can enjoy a wholesale rate of Rp 7,000."
Flat Bottom Lightpack,FBL-N-ZIP-20x30x8-TRS,"Discover our high-quality Flat Bottom Lightpack. Crafted from durable pet 12 / lldpe 90, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 1,850, while business partners can enjoy a wholesale rate of Rp 1,542."
Flat Bottom Lightpack,FBL-N-ZIP-18x28x8-TRS,"Discover our high-quality Flat Bottom Lightpack. Crafted from durable pet 12 / lldpe 90, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 1,925, while business partners can enjoy a wholesale rate of Rp 1,603."
Flat Bottom Lightpack,FBL-N-ZIP-16x26x8-TRS,"Discover our high-quality Flat Bottom Lightpack. Crafted from durable pet 12 / lldpe 90, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 1,585, while business partners can enjoy a wholesale rate of Rp 1,319."
Flat Bottom Lightpack,FBL-N-ZIP-12x22x6-TRS,"Discover our high-quality Flat Bottom Lightpack. Crafted from durable pet 12 / lldpe 90, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 1,135, while business partners can enjoy a wholesale rate of Rp 943."
Flat Bottom Lightpack,FBL-N-ZIP-10x22x6-TRS,"Discover our high-quality Flat Bottom Lightpack. Crafted from durable pet 12 / lldpe 90, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 775, while business partners can enjoy a wholesale rate of Rp 645."
Flat Bottom Rice Paper,FBT-P-ZIP-9x18x7-RCP,"Discover our high-quality Flat Bottom Rice Paper. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 2,450, while business partners can enjoy a wholesale rate of Rp 1,850."
Flat Bottom Rice Paper,FBT-P-ZIP-15x32.5x9.5-RCP,"Discover our high-quality Flat Bottom Rice Paper. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,850, while business partners can enjoy a wholesale rate of Rp 3,200."
Flat Bottom Rice Paper,FBT-P-ZIP-10x13x7-RCP,"Discover our high-quality Flat Bottom Rice Paper. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 2,850, while business partners can enjoy a wholesale rate of Rp 2,150."
Flat Bottom Rice Paper,FBT-P-ZIP-13x26x7.5-RCP,"Discover our high-quality Flat Bottom Rice Paper. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,350, while business partners can enjoy a wholesale rate of Rp 2,450."
Flat Bottom Rice Paper Square,FBS-P-ZIP-13.5x14.5x8-RCP,"Discover our high-quality Flat Bottom Rice Paper Square. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 2,300, while business partners can enjoy a wholesale rate of Rp 1,950."
Flat Bottom Rice Paper Square,FBS-P-ZIP-23x24x10-RCP,"Discover our high-quality Flat Bottom Rice Paper Square. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 4,650, while business partners can enjoy a wholesale rate of Rp 3,850."
Flat Bottom Rice Paper Square,FBS-P-ZIP-16x16x8-RCP,"Discover our high-quality Flat Bottom Rice Paper Square. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,250, while business partners can enjoy a wholesale rate of Rp 2,550."
Flat Bottom Rice Paper Square,FBS-P-ZIP-19.5x20x8-RCP,"Discover our high-quality Flat Bottom Rice Paper Square. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 4,050, while business partners can enjoy a wholesale rate of Rp 3,350."
Flat Bottom Square,FBS-M-ZIP-24x23x10-BRW,"Discover our high-quality Flat Bottom Square. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 4,000, while business partners can enjoy a wholesale rate of Rp 3,300."
Flat Bottom Square,FBS-M-ZIP-24x23x10-RED,"Discover our high-quality Flat Bottom Square. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 4,000, while business partners can enjoy a wholesale rate of Rp 3,300."
Flat Bottom Square,FBS-M-ZIP-24x23x10-KRF,"Discover our high-quality Flat Bottom Square. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 4,000, while business partners can enjoy a wholesale rate of Rp 3,300."
Flat Bottom Square,FBS-M-ZIP-24x23x10-BLU,"Discover our high-quality Flat Bottom Square. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 4,000, while business partners can enjoy a wholesale rate of Rp 3,300."
Flat Bottom Square,FBS-M-ZIP-24x23x10-BLK,"Discover our high-quality Flat Bottom Square. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 4,000, while business partners can enjoy a wholesale rate of Rp 3,300."
Flat Bottom Square,FBS-M-ZIP-24x23x10-WHT,"Discover our high-quality Flat Bottom Square. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 4,000, while business partners can enjoy a wholesale rate of Rp 3,300."
Flat Bottom Square,FBS-M-ZIP-15.5x16.5x7.5-BLK,"Discover our high-quality Flat Bottom Square. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,400, while business partners can enjoy a wholesale rate of Rp 2,500."
Flat Bottom Square,FBS-M-ZIP-15.5x16.5x7.5-WHT,"Discover our high-quality Flat Bottom Square. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,400, while business partners can enjoy a wholesale rate of Rp 2,500."
Flat Bottom Square,FBS-M-ZIP-15.5x16.5x7.5-BRW,"Discover our high-quality Flat Bottom Square. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,400, while business partners can enjoy a wholesale rate of Rp 2,500."
Flat Bottom Square,FBS-M-ZIP-15.5x16.5x7.5-PNK,"Discover our high-quality Flat Bottom Square. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,400, while business partners can enjoy a wholesale rate of Rp 2,500."
Flat Bottom Square,FBS-M-ZIP-15.5x16.5x7.5-GRN,"Discover our high-quality Flat Bottom Square. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,400, while business partners can enjoy a wholesale rate of Rp 2,500."
Flat Bottom Square,FBS-M-ZIP-15.5x16.5x7.5-BLU,"Discover our high-quality Flat Bottom Square. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,400, while business partners can enjoy a wholesale rate of Rp 2,500."
Flat Bottom Square,FBS-M-ZIP-15.5x16.5x7.5-RED,"Discover our high-quality Flat Bottom Square. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,400, while business partners can enjoy a wholesale rate of Rp 2,500."
Flat Bottom Square,FBS-M-ZIP-15.5x16.5x7.5-YLW,"Discover our high-quality Flat Bottom Square. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,400, while business partners can enjoy a wholesale rate of Rp 2,500."
Flat Bottom Square,FBS-M-ZIP-15.5x16.5x7.5-KRF,"Discover our high-quality Flat Bottom Square. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,400, while business partners can enjoy a wholesale rate of Rp 2,500."
Flat Bottom Square Tail,FBT-M-ZIP-15.5x16.5x7.5-YLW,"Discover our high-quality Flat Bottom Square Tail. Crafted from durable OPP DOFF 20 / VMPET 12 / LLDPE 110, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 5,000, while business partners can enjoy a wholesale rate of Rp 4,000."
Flat Bottom Square Tail,FBT-M-ZIP-15.5x16.5x7.5-WHT,"Discover our high-quality Flat Bottom Square Tail. Crafted from durable OPP DOFF 20 / VMPET 12 / LLDPE 110, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 5,000, while business partners can enjoy a wholesale rate of Rp 4,000."
Flat Bottom Square Tail,FBT-M-ZIP-15.5x16.5x7.5-GLD,"Discover our high-quality Flat Bottom Square Tail. Crafted from durable OPP DOFF 20 / VMPET 12 / LLDPE 110, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 5,000, while business partners can enjoy a wholesale rate of Rp 4,000."
Flat Bottom Square Tail,FBT-M-ZIP-15.5x16.5x7.5-ORG,"Discover our high-quality Flat Bottom Square Tail. Crafted from durable OPP DOFF 20 / VMPET 12 / LLDPE 110, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 5,000, while business partners can enjoy a wholesale rate of Rp 4,000."
Flat Bottom Square Tail,FBT-M-ZIP-15.5x16.5x7.5-BLU,"Discover our high-quality Flat Bottom Square Tail. Crafted from durable OPP DOFF 20 / VMPET 12 / LLDPE 110, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 5,000, while business partners can enjoy a wholesale rate of Rp 4,000."
Flat Bottom Square Tail,FBT-M-ZIP-15.5x16.5x7.5-GRN,"Discover our high-quality Flat Bottom Square Tail. Crafted from durable OPP DOFF 20 / VMPET 12 / LLDPE 110, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 5,000, while business partners can enjoy a wholesale rate of Rp 4,000."
Gusset Eco Alumunium,GST-A-ECO-25x39-BRN,"Discover our high-quality Gusset Eco Alumunium. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,200, while business partners can enjoy a wholesale rate of Rp 2,500."
Gusset Eco Alumunium,GST-A-ECO-11.5x22-BRN,"Discover our high-quality Gusset Eco Alumunium. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 1,350, while business partners can enjoy a wholesale rate of Rp 900."
Gusset Eco Alumunium,GST-A-ECO-15x30-BRN,"Discover our high-quality Gusset Eco Alumunium. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 1,800, while business partners can enjoy a wholesale rate of Rp 1,100."
Gusset Alumunium Quad Seal,GST-A-QUA-25x39-SLV,"Discover our high-quality Gusset Alumunium Quad Seal. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,200, while business partners can enjoy a wholesale rate of Rp 2,500."
Gusset Alumunium Quad Seal,GST-A-QUA-25x39-BLK,"Discover our high-quality Gusset Alumunium Quad Seal. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,200, while business partners can enjoy a wholesale rate of Rp 2,500."
Gusset Alumunium Quad Seal,GST-A-QUA-25x39-WHT,"Discover our high-quality Gusset Alumunium Quad Seal. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,200, while business partners can enjoy a wholesale rate of Rp 2,500."
Gusset Alumunium Quad Seal,GST-A-QUA-11.5x38-BLK,"Discover our high-quality Gusset Alumunium Quad Seal. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 1,350, while business partners can enjoy a wholesale rate of Rp 900."
Gusset Alumunium Quad Seal,GST-A-QUA-11.5x38-WHT,"Discover our high-quality Gusset Alumunium Quad Seal. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 1,350, while business partners can enjoy a wholesale rate of Rp 900."
Gusset Alumunium Quad Seal,GST-A-QUA-15x30-BLK,"Discover our high-quality Gusset Alumunium Quad Seal. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 1,800, while business partners can enjoy a wholesale rate of Rp 1,100."
Gusset Alumunium Quad Seal,GST-A-QUA-15x30-WHT,"Discover our high-quality Gusset Alumunium Quad Seal. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 1,800, while business partners can enjoy a wholesale rate of Rp 1,100."
Gusset Alumunium Quad Seal,GST-A-QUA-39.5x60-SLV,"Discover our high-quality Gusset Alumunium Quad Seal. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 9,800, while business partners can enjoy a wholesale rate of Rp 8,000."
Gusset Alumunium Quad Seal,GST-A-QUA-19x34-BLK,"Discover our high-quality Gusset Alumunium Quad Seal. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 2,800, while business partners can enjoy a wholesale rate of Rp 1,800."
Gusset Alumunium Quad Seal,GST-A-QUA-19x34-WHT,"Discover our high-quality Gusset Alumunium Quad Seal. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 2,800, while business partners can enjoy a wholesale rate of Rp 1,800."
Gusset Alumunium Quad Seal (Takaran Serbuk),GST-A-QUA-22x30-GLD,"Discover our high-quality Gusset Alumunium Quad Seal (Takaran Serbuk). Crafted from durable opp 20 / alu 7 / lldpe 90, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 2,300, while business partners can enjoy a wholesale rate of Rp 1,650."
Gusset Alumunium Quad Seal (Takaran Serbuk),GST-A-QUA-22x30-SLV,"Discover our high-quality Gusset Alumunium Quad Seal (Takaran Serbuk). Crafted from durable opp 20 / alu 7 / lldpe 90, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 2,300, while business partners can enjoy a wholesale rate of Rp 1,650."
Gusset Alumunium Centre Seal,GST-A-CSG-23x39-BLK,"Discover our high-quality Gusset Alumunium Centre Seal. Crafted from durable pet 12 / alu 7 / lldpe 120, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,200, while business partners can enjoy a wholesale rate of Rp 2,500."
Gusset Alumunium Centre Seal,GST-A-CSG-23x39-WHT,"Discover our high-quality Gusset Alumunium Centre Seal. Crafted from durable pet 12 / alu 7 / lldpe 120, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,200, while business partners can enjoy a wholesale rate of Rp 2,500."
Gusset Alumunium Centre Seal,GST-A-CSG-23x39-GLD,"Discover our high-quality Gusset Alumunium Centre Seal. Crafted from durable pet 12 / alu 7 / lldpe 120, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,200, while business partners can enjoy a wholesale rate of Rp 2,500."
Gusset Metalized Centre Seal,GST-M-CSG-17x28.5-SLV,"Discover our high-quality Gusset Metalized Centre Seal. Crafted from durable pet 12 / vmcpp 35, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 600, while business partners can enjoy a wholesale rate of Rp 500."
Valve,valve-default-default-01,"Discover our high-quality Valve. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 700, while business partners can enjoy a wholesale rate of Rp 700."
Roll Alumunium Foil,ROL-A-ALU-80x1000,"Discover our high-quality Roll Alumunium Foil. Crafted from durable pet 12 / alu 7 / lldpe 60, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 0, while business partners can enjoy a wholesale rate of Rp 0."
Roll Metalized,ROL-M-MTL-80x1000,"Discover our high-quality Roll Metalized. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 0, while business partners can enjoy a wholesale rate of Rp 0."
Roll Metalized,ROL-M-MTL-76x1000,"Discover our high-quality Roll Metalized. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 0, while business partners can enjoy a wholesale rate of Rp 0."
Roll Metalized Blok Putih,ROL-M-MTL-76x1000-WHT,"Discover our high-quality Roll Metalized Blok Putih. Crafted from durable pet 12 / vmcpp 40, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 0, while business partners can enjoy a wholesale rate of Rp 0."
Roll Nylon,ROL-N-NYL-84x1000-NYL,"Discover our high-quality Roll Nylon. Crafted from durable nylon 15 / lldpe 40, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 0, while business partners can enjoy a wholesale rate of Rp 0."
Sachet,SCT-A-BBK-20x30-SLV,"Discover our high-quality Sachet. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 1,100, while business partners can enjoy a wholesale rate of Rp 950."
Sachet,SCT-A-BBK-8x9-SLV,"Discover our high-quality Sachet. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 165, while business partners can enjoy a wholesale rate of Rp 154."
Sachet,SCT-A-BBK-8x12-SLV,"Discover our high-quality Sachet. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 220, while business partners can enjoy a wholesale rate of Rp 179."
Sachet,SCT-A-BBK-12x12-SLV,"Discover our high-quality Sachet. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 340, while business partners can enjoy a wholesale rate of Rp 278."
Sachet,SCT-A-BBK-12x16-SLV,"Discover our high-quality Sachet. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 425, while business partners can enjoy a wholesale rate of Rp 314."
Sachet Retort,RET-R-SCT-8x9-SLV,"Discover our high-quality Sachet Retort. Crafted from durable pet 12 / alu 7 / nylon 15 / cpp retort 80, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 485, while business partners can enjoy a wholesale rate of Rp 330."
Sachet Retort,RET-R-SCT-25x50-SLV,"Discover our high-quality Sachet Retort. Crafted from durable pet 12 / alu 7 / nylon 15 / cpp retort 80, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 8,435, while business partners can enjoy a wholesale rate of Rp 5,722."
Sachet Retort,RET-R-SCT-25x34-SLV,"Discover our high-quality Sachet Retort. Crafted from durable pet 12 / alu 7 / nylon 15 / cpp retort 80, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 4,190, while business partners can enjoy a wholesale rate of Rp 2,843."
Sachet Retort,RET-R-SCT-17x25-SLV,"Discover our high-quality Sachet Retort. Crafted from durable pet 12 / alu 7 / nylon 15 / cpp retort 80, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 2,945, while business partners can enjoy a wholesale rate of Rp 1,996."
Sachet Retort,RET-R-SCT-16x23-SLV,"Discover our high-quality Sachet Retort. Crafted from durable pet 12 / alu 7 / nylon 15 / cpp retort 80, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 1,890, while business partners can enjoy a wholesale rate of Rp 1,281."
Sachet Retort,RET-R-SCT-15x40-SLV,"Discover our high-quality Sachet Retort. Crafted from durable pet 12 / alu 7 / nylon 15 / cpp retort 80, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,440, while business partners can enjoy a wholesale rate of Rp 2,337."
Sachet Retort,RET-R-SCT-15x30-SLV,"Discover our high-quality Sachet Retort. Crafted from durable pet 12 / alu 7 / nylon 15 / cpp retort 80, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 2,610, while business partners can enjoy a wholesale rate of Rp 1,771."
Sachet Retort,RET-R-SCT-15x20-SLV,"Discover our high-quality Sachet Retort. Crafted from durable pet 12 / alu 7 / nylon 15 / cpp retort 80, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 1,780, while business partners can enjoy a wholesale rate of Rp 1,208."
Sachet Retort,RET-R-SCT-13x21-SLV,"Discover our high-quality Sachet Retort. Crafted from durable pet 12 / alu 7 / nylon 15 / cpp retort 80, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 1,550, while business partners can enjoy a wholesale rate of Rp 1,053."
Sachet Retort,RET-R-SCT-12x15-SLV,"Discover our high-quality Sachet Retort. Crafted from durable pet 12 / alu 7 / nylon 15 / cpp retort 80, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 1,110, while business partners can enjoy a wholesale rate of Rp 753."
Sachet Retort,RET-R-SCT-12x12-SLV,"Discover our high-quality Sachet Retort. Crafted from durable pet 12 / alu 7 / nylon 15 / cpp retort 80, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 1,105, while business partners can enjoy a wholesale rate of Rp 751."
