sku,product_name,category,description,material,thickness,size,capacity,unit,color,retail_price,b2b_price,moq,is_test_data
FBT-A-ZIP-12.4x19.5x6.5-GLD,Flat Bottom 250 gr ,Flat Bottom,"Kemasan Flat Bottom 250 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan opp doff 20 / alu 7 / lldpe 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",opp doff 20 / alu 7 / lldpe 110,140 Micron,125mm x 195mm x 65mm,250.0,gr,Gold ,2.858,2000.0,,False
FBT-A-ZIP-12.4x19.5x6.5-TRS,Flat Bottom 250 gr ,Flat Bottom,"Kemasan Flat Bottom 250 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan opp doff 20 / alu 7 / lldpe 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",opp doff 20 / alu 7 / lldpe 110,140 Micron,125mm x 195mm x 65mm,250.0,gr,Transparent ,2.858,2000.0,,False
FBT-A-ZIP-25x35x9.5-GLD,Flat Bottom 2500 gr ,Flat Bottom,"Kemasan Flat Bottom 2500 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan pet 12 / vmpet 12 / lldpe 140 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",pet 12 / vmpet 12 / lldpe 140,170 micron,250mm x 350mm x 95mm ,2500.0,gr,Gold ,7.0,7000.0,,False
FBT-A-ZIP-25x35x9.5-WHT,Flat Bottom 2500 gr ,Flat Bottom,"Kemasan Flat Bottom 2500 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan pet 12 / vmpet 12 / lldpe 140 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",pet 12 / vmpet 12 / lldpe 140,170 micron,250mm x 350mm x 95mm ,2500.0,gr,White ,7.0,5500.0,,False
FBT-A-ZIP-25x35x9.5-BLK,Flat Bottom 2500 gr ,Flat Bottom,"Kemasan Flat Bottom 2500 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan pet 12 / vmpet 12 / lldpe 140 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",pet 12 / vmpet 12 / lldpe 140,170 micron,250mm x 350mm x 95mm ,2500.0,gr,Black ,7.0,5500.0,,False
FBT-A-ZIP-30x49x13-BLK,Flat Bottom 5000 gr ,Flat Bottom,"Kemasan Flat Bottom 5000 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan pet 12 / vmpet 12 / lldpe 140 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",pet 12 / vmpet 12 / lldpe 140,170 micron,300mm x 490mm x 130mm,5000.0,gr,Black ,7.7,7000.0,,False
FBT-A-ZIP-30x49x13-WHT,Flat Bottom 5000 gr ,Flat Bottom,"Kemasan Flat Bottom 5000 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan pet 12 / vmpet 12 / lldpe 140 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",pet 12 / vmpet 12 / lldpe 140,170 micron,300mm x 490mm x 130mm,5000.0,gr,White ,7.7,7000.0,,False
FBL-N-ZIP-20x30x8-TRS,Flat Bottom Lightpack ,Flat Bottom,"Kemasan Flat Bottom Lightpack  kualitas premium dari kategori Flat Bottom. Dibuat dengan pet 12 / lldpe 90 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",pet 12 / lldpe 90,105 Micron,200mm x 300mm + 80mm,,,Transparent ,1.85,1542.0,,False
FBL-N-ZIP-18x28x8-TRS,Flat Bottom Lightpack ,Flat Bottom,"Kemasan Flat Bottom Lightpack  kualitas premium dari kategori Flat Bottom. Dibuat dengan pet 12 / lldpe 90 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",pet 12 / lldpe 90,105 Micron,180mm x 280mm + 80mm,,,Transparent ,1.925,1603.0,,False
FBL-N-ZIP-16x26x8-TRS,Flat Bottom Lightpack ,Flat Bottom,"Kemasan Flat Bottom Lightpack  kualitas premium dari kategori Flat Bottom. Dibuat dengan pet 12 / lldpe 90 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",pet 12 / lldpe 90,105 Micron,160mm x 260mm + 80mm,,,Transparent ,1.585,1319.0,,False
FBL-N-ZIP-12x22x6-TRS,Flat Bottom Lightpack ,Flat Bottom,"Kemasan Flat Bottom Lightpack  kualitas premium dari kategori Flat Bottom. Dibuat dengan pet 12 / lldpe 90 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",pet 12 / lldpe 90,105 Micron,120mm x 220mm + 60mm,,,Transparent ,1.135,943.0,,False
FBL-N-ZIP-10x22x6-TRS,Flat Bottom Lightpack ,Flat Bottom,"Kemasan Flat Bottom Lightpack  kualitas premium dari kategori Flat Bottom. Dibuat dengan pet 12 / lldpe 90 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",pet 12 / lldpe 90,105 Micron,100mm x 200mm + 60mm,,,Transparent ,775.0,645.0,,False
FBT-P-ZIP-9x18x7-RCP,Flat Bottom Rice Paper 100 gr ,Flat Bottom,"Kemasan Flat Bottom Rice Paper 100 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan Rice Paper / LLDPE (Food Grade) yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",Rice Paper / LLDPE (Food Grade),,90mm x 180mm + 70mm,100.0,gr,Rice Paper,2.45,1850.0,,False
FBT-P-ZIP-15x32.5x9.5-RCP,Flat Bottom Rice Paper 1000 gr ,Flat Bottom,"Kemasan Flat Bottom Rice Paper 1000 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan Rice Paper / LLDPE (Food Grade) yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",Rice Paper / LLDPE (Food Grade),,150mm x 325mm + 95mm,1000.0,gr,Rice Paper,3.85,3200.0,,False
FBT-P-ZIP-10x13x7-RCP,Flat Bottom Rice Paper 250 gr,Flat Bottom,"Kemasan Flat Bottom Rice Paper 250 gr kualitas premium dari kategori Flat Bottom. Dibuat dengan Rice Paper / LLDPE (Food Grade) yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",Rice Paper / LLDPE (Food Grade),,200mm x 130mm + 70mm,250.0,gr,Rice Paper,2.85,2150.0,,False
FBT-P-ZIP-13x26x7.5-RCP,Flat Bottom Rice Paper 500 gr,Flat Bottom,"Kemasan Flat Bottom Rice Paper 500 gr kualitas premium dari kategori Flat Bottom. Dibuat dengan Rice Paper / LLDPE (Food Grade) yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",Rice Paper / LLDPE (Food Grade),,130mm x 260mm + 75mm,500.0,gr,Rice Paper,3.35,2450.0,,False
FBS-P-ZIP-13.5x14.5x8-RCP,Flat Bottom Rice Paper Square 100 gr,Flat Bottom,"Kemasan Flat Bottom Rice Paper Square 100 gr kualitas premium dari kategori Flat Bottom. Dibuat dengan Rice Paper / LLDPE (Food Grade) yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",Rice Paper / LLDPE (Food Grade),,135mm x 145mm + 80mm,100.0,gr,Rice Paper,2.3,1950.0,,False
FBS-P-ZIP-23x24x10-RCP,Flat Bottom Rice Paper Square 1000 gr,Flat Bottom,"Kemasan Flat Bottom Rice Paper Square 1000 gr kualitas premium dari kategori Flat Bottom. Dibuat dengan Rice Paper / LLDPE (Food Grade) yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",Rice Paper / LLDPE (Food Grade),,230mm x 240mm + 100mm,1000.0,gr,Rice Paper,4.65,3850.0,,False
FBS-P-ZIP-16x16x8-RCP,Flat Bottom Rice Paper Square 250 gr,Flat Bottom,"Kemasan Flat Bottom Rice Paper Square 250 gr kualitas premium dari kategori Flat Bottom. Dibuat dengan Rice Paper / LLDPE (Food Grade) yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",Rice Paper / LLDPE (Food Grade),,160mm x 160mm + 80mm,250.0,gr,Rice Paper,3.25,2550.0,,False
FBS-P-ZIP-19.5x20x8-RCP,Flat Bottom Rice Paper Square 500 gr,Flat Bottom,"Kemasan Flat Bottom Rice Paper Square 500 gr kualitas premium dari kategori Flat Bottom. Dibuat dengan Rice Paper / LLDPE (Food Grade) yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",Rice Paper / LLDPE (Food Grade),,195mm x 200mm + 80mm,500.0,gr,Rice Paper,4.05,3350.0,,False
FBS-M-ZIP-24x23x10-BRW,Flat Bottom Square 1000 gr,Flat Bottom,"Kemasan Flat Bottom Square 1000 gr kualitas premium dari kategori Flat Bottom. Dibuat dengan opp doff 20 / vmpet 12 / lldpe 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",opp doff 20 / vmpet 12 / lldpe 110,170 Micron,240 mm x 230 mm x 100 mm,1000.0,gr,Brown ,4.0,3300.0,,False
FBS-M-ZIP-24x23x10-RED,Flat Bottom Square 1000 gr,Flat Bottom,"Kemasan Flat Bottom Square 1000 gr kualitas premium dari kategori Flat Bottom. Dibuat dengan opp doff 20 / vmpet 12 / lldpe 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",opp doff 20 / vmpet 12 / lldpe 110,170 Micron,240 mm x 230 mm x 100 mm,1000.0,gr,Red,4.0,3300.0,,False
FBS-M-ZIP-24x23x10-KRF,Flat Bottom Square 1000 gr,Flat Bottom,"Kemasan Flat Bottom Square 1000 gr kualitas premium dari kategori Flat Bottom. Dibuat dengan opp doff 20 / vmpet 12 / lldpe 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",opp doff 20 / vmpet 12 / lldpe 110,170 Micron,240 mm x 230 mm x 100 mm,1000.0,gr,Kraft,4.0,3300.0,,False
FBS-M-ZIP-24x23x10-BLU,Flat Bottom Square 1000 gr,Flat Bottom,"Kemasan Flat Bottom Square 1000 gr kualitas premium dari kategori Flat Bottom. Dibuat dengan opp doff 20 / vmpet 12 / lldpe 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",opp doff 20 / vmpet 12 / lldpe 110,170 Micron,240 mm x 230 mm x 100 mm,1000.0,gr,Blue,4.0,3300.0,,False
FBS-M-ZIP-24x23x10-BLK,Flat Bottom Square 1000 gr,Flat Bottom,"Kemasan Flat Bottom Square 1000 gr kualitas premium dari kategori Flat Bottom. Dibuat dengan opp doff 20 / vmpet 12 / lldpe 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",opp doff 20 / vmpet 12 / lldpe 110,170 Micron,240 mm x 230 mm x 100 mm,1000.0,gr,Black ,4.0,3300.0,,False
FBS-M-ZIP-24x23x10-WHT,Flat Bottom Square 1000 gr,Flat Bottom,"Kemasan Flat Bottom Square 1000 gr kualitas premium dari kategori Flat Bottom. Dibuat dengan opp doff 20 / vmpet 12 / lldpe 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",opp doff 20 / vmpet 12 / lldpe 110,170 Micron,240 mm x 230 mm x 100 mm,1000.0,gr,White ,4.0,3300.0,,False
FBS-M-ZIP-15.5x16.5x7.5-BLK,Flat Bottom Square 250 gr ,Flat Bottom,"Kemasan Flat Bottom Square 250 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan OPP DOFF 20 / VMPET 12 / LLDPE 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",OPP DOFF 20 / VMPET 12 / LLDPE 110,170 Micron,155 mm x 165 mm x 75mm,250.0,gr,Black ,3.4,2500.0,,False
FBS-M-ZIP-15.5x16.5x7.5-WHT,Flat Bottom Square 250 gr ,Flat Bottom,"Kemasan Flat Bottom Square 250 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan OPP DOFF 20 / VMPET 12 / LLDPE 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",OPP DOFF 20 / VMPET 12 / LLDPE 110,170 Micron,155 mm x 165 mm x 75mm,250.0,gr,White ,3.4,2500.0,,False
FBS-M-ZIP-15.5x16.5x7.5-BRW,Flat Bottom Square 250 gr ,Flat Bottom,"Kemasan Flat Bottom Square 250 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan OPP DOFF 20 / VMPET 12 / LLDPE 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",OPP DOFF 20 / VMPET 12 / LLDPE 110,170 Micron,155 mm x 165 mm x 75mm,250.0,gr,Brown ,3.4,2500.0,,False
FBS-M-ZIP-15.5x16.5x7.5-PNK,Flat Bottom Square 250 gr ,Flat Bottom,"Kemasan Flat Bottom Square 250 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan OPP DOFF 20 / VMPET 12 / LLDPE 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",OPP DOFF 20 / VMPET 12 / LLDPE 110,170 Micron,155 mm x 165 mm x 75mm,250.0,gr,Pink,3.4,2500.0,,False
FBS-M-ZIP-15.5x16.5x7.5-GRN,Flat Bottom Square 250 gr ,Flat Bottom,"Kemasan Flat Bottom Square 250 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan OPP DOFF 20 / VMPET 12 / LLDPE 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",OPP DOFF 20 / VMPET 12 / LLDPE 110,170 Micron,155 mm x 165 mm x 75mm,250.0,gr,Green,3.4,2500.0,,False
FBS-M-ZIP-15.5x16.5x7.5-BLU,Flat Bottom Square 250 gr ,Flat Bottom,"Kemasan Flat Bottom Square 250 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan OPP DOFF 20 / VMPET 12 / LLDPE 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",OPP DOFF 20 / VMPET 12 / LLDPE 110,170 Micron,155 mm x 165 mm x 75mm,250.0,gr,Blue,3.4,2500.0,,False
FBS-M-ZIP-15.5x16.5x7.5-RED,Flat Bottom Square 250 gr ,Flat Bottom,"Kemasan Flat Bottom Square 250 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan OPP DOFF 20 / VMPET 12 / LLDPE 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",OPP DOFF 20 / VMPET 12 / LLDPE 110,170 Micron,155 mm x 165 mm x 75mm,250.0,gr,Red,3.4,2500.0,,False
FBS-M-ZIP-15.5x16.5x7.5-YLW,Flat Bottom Square 250 gr ,Flat Bottom,"Kemasan Flat Bottom Square 250 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan OPP DOFF 20 / VMPET 12 / LLDPE 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",OPP DOFF 20 / VMPET 12 / LLDPE 110,170 Micron,155 mm x 165 mm x 75mm,250.0,gr,Yellow,3.4,2500.0,,False
FBS-M-ZIP-15.5x16.5x7.5-KRF,Flat Bottom Square 250 gr ,Flat Bottom,"Kemasan Flat Bottom Square 250 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan OPP DOFF 20 / VMPET 12 / LLDPE 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",OPP DOFF 20 / VMPET 12 / LLDPE 110,170 Micron,155 mm x 165 mm x 75mm,250.0,gr,Kraft,3.4,2500.0,,False
FBT-M-ZIP-15.5x16.5x7.5-YLW,Flat Bottom Square Tail 250 gr ,Flat Bottom,"Kemasan Flat Bottom Square Tail 250 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan OPP DOFF 20 / VMPET 12 / LLDPE 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",OPP DOFF 20 / VMPET 12 / LLDPE 110,170 Micron,155 mm x 165 mm x 75mm,250.0,gr,Yellow,5.0,4000.0,,False
FBT-M-ZIP-15.5x16.5x7.5-WHT,Flat Bottom Square Tail 250 gr ,Flat Bottom,"Kemasan Flat Bottom Square Tail 250 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan OPP DOFF 20 / VMPET 12 / LLDPE 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",OPP DOFF 20 / VMPET 12 / LLDPE 110,170 Micron,155 mm x 165 mm x 75mm,250.0,gr,White ,5.0,4000.0,,False
FBT-M-ZIP-15.5x16.5x7.5-GLD,Flat Bottom Square Tail 250 gr ,Flat Bottom,"Kemasan Flat Bottom Square Tail 250 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan OPP DOFF 20 / VMPET 12 / LLDPE 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",OPP DOFF 20 / VMPET 12 / LLDPE 110,170 Micron,155 mm x 165 mm x 75mm,250.0,gr,Gold ,5.0,4000.0,,False
FBT-M-ZIP-15.5x16.5x7.5-ORG,Flat Bottom Square Tail 250 gr ,Flat Bottom,"Kemasan Flat Bottom Square Tail 250 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan OPP DOFF 20 / VMPET 12 / LLDPE 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",OPP DOFF 20 / VMPET 12 / LLDPE 110,170 Micron,155 mm x 165 mm x 75mm,250.0,gr,Orange ,5.0,4000.0,,False
FBT-M-ZIP-15.5x16.5x7.5-BLU,Flat Bottom Square Tail 250 gr ,Flat Bottom,"Kemasan Flat Bottom Square Tail 250 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan OPP DOFF 20 / VMPET 12 / LLDPE 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",OPP DOFF 20 / VMPET 12 / LLDPE 110,170 Micron,155 mm x 165 mm x 75mm,250.0,gr,Blue,5.0,4000.0,,False
FBT-M-ZIP-15.5x16.5x7.5-GRN,Flat Bottom Square Tail 250 gr ,Flat Bottom,"Kemasan Flat Bottom Square Tail 250 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan OPP DOFF 20 / VMPET 12 / LLDPE 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",OPP DOFF 20 / VMPET 12 / LLDPE 110,170 Micron,155 mm x 165 mm x 75mm,250.0,gr,Green,5.0,4000.0,,False
